id,uuid,name,description,plan_type_id,plan_status_id,price,display_order,yearly_plan_id,minimum_charge,includes_studio_management,currency_code,created,created_by,last_updated,last_updated_user_id
283,30fc8d23-2db8-44e6-b366-24d667b4d169,"BF CAD 25,000 Yearly",This is a special plan created for Black Friday 2020.,3,2,360.000,251,,,1,CAD,2020-09-30 13:08:04.000000,66651,,
73,37d6c424-6919-4c14-ac1d-dd4dfd4ba9f2,Unlimited - 3 Photographers - Yearly,Unlimited Photos,8,3,800.000,4,,,1,USD,2014-11-05 03:21:48.000000,234,2016-07-26 14:43:01.000000,233
129,fb5f7caa-71a5-4973-9d36-0f2c639b784f,Unlimited - 1 Photographer,Wedding Pro,7,1,45.000,1,128,,1,EUR,2016-08-29 10:48:56.000000,,,
12,a6e0faf2-1f8b-44ec-9e64-ce6d2b7b08da,"Beta 2,000","Beta users 2,000 photo plan",1,2,8.000,0,,,1,USD,2010-12-30 20:57:20.000000,2,2013-08-28 14:12:46.000000,233
162,3ff0b56d-684b-4b1e-beaa-61a685fdc6aa,High School Seniors,115 songs,5,1,6.000,1,161,,0,CAD,2016-08-29 10:48:57.000000,,,
33,eff3a5b9-4eb8-4398-89d8-1bb469648ee9,$0.26 Storage Plan,"",4,2,0.260,1,,,1,USD,2013-01-16 21:34:28.000000,233,2015-11-05 16:13:40.000000,233
120,7d9e5a23-64f6-47a0-8f64-8df76a581477,"Plan 5,000","",3,1,180.000,2,,,1,EUR,2016-08-29 10:48:56.000000,,,
123,a8960d5f-9344-4279-bc30-c7cfd7d152aa,"Plan 25,000",Emerging Pro,1,1,27.000,4,122,,1,EUR,2016-08-29 10:48:56.000000,,,
174,3e17dc62-58a3-434a-b703-23d9d94b22ac,"Plan 50,000","",3,1,550.000,4,,,1,AUD,2016-08-29 10:48:57.000000,,,
15,fba1b880-a5e4-4b3a-8a19-20b332bbb3a2,Free Plan,Test the Waters,1,1,0.000,1,,,0,USD,2011-02-05 18:10:38.000000,234,2015-03-10 03:03:15.000000,233
137,3aacd799-5078-4fab-9e7e-97c461da8864,High School Seniors,115 songs,5,1,5.000,1,136,,0,EUR,2016-08-29 10:48:57.000000,,,
142,97b4a7d9-c314-4bf7-8f81-96054d2c38f6,Free Plan,Test the Waters,1,1,0.000,1,,,0,CAD,2016-08-29 10:48:57.000000,,,
270,9345f3a6-0094-4192-ace7-97102dc7c56c,"BF USD 25,000 Monthly",This is a special plan created for Black Friday 2020.,1,2,39.000,255,,,1,USD,2020-09-30 12:37:03.000000,66651,2020-09-30 12:42:24.000000,66651
36,649f5093-ff18-4dfa-b85b-37d1d8b114b8,"Eivan's Plan 500,000","",3,3,1000.000,30,,,1,USD,2013-04-11 18:41:22.000000,234,2016-07-26 14:47:34.000000,233
139,72070ed3-50b7-4c97-98d2-300f39c4694e,Boudoir & Fashion,115 songs,5,1,5.000,1,138,,0,EUR,2016-08-29 10:48:57.000000,,,
220,6efcf59b-4d68-4001-bc19-8bcd7d3eebce,"750,000 Monthly Plan","750,000 monthly photo plan for volume studios",1,2,375.000,89,,,1,USD,2017-04-05 18:33:22.000000,27817,2018-03-06 16:05:35.000000,27817
151,7cdf7fdc-749e-40b3-90e0-6219b1598f13,"Plan 100,000","",3,1,570.000,5,,,1,CAD,2016-08-29 10:48:57.000000,,,
152,ae28071e-6bec-4b71-b9fe-43e26253d781,"Plan 100,000",Ideal for studios that shoot A LOT!,1,1,57.000,6,151,,1,CAD,2016-08-29 10:48:57.000000,,,
242,fd55b9b8-3e78-41fa-87e5-e4599a9ce6e2,Internal Free,"",1,2,0.000,1,,,1,CAD,2018-10-15 11:21:33.000000,233,,
153,a8c479e6-19e1-4d88-bcdf-4e8640b68021,Unlimited - 1 Photographer,Wedding Pro,8,1,650.000,3,,,1,CAD,2016-08-29 10:48:57.000000,,2017-09-08 14:46:40.000000,233
175,a038408c-4175-4514-8167-27c8308421a2,"Plan 50,000",Full-Time Studio,1,1,55.000,5,174,,1,AUD,2016-08-29 10:48:57.000000,,,
317,578b1041-e1e6-462f-994f-b5c9698f97ab,"BF EURO 5,000 Yearly",This is a special plan created for Black Friday 2020.,3,2,180.000,151,,,1,EUR,2020-10-01 12:36:14.000000,66651,,
110,ab41ead1-b49b-4268-897e-a6aa63366c22,"Babies, Kids & Family",115 songs,5,1,4.000,1,109,,0,GBP,2016-08-29 10:48:56.000000,,,
76,51cab50b-b3fd-4120-bc76-ad503f118c2b,Unlimited Free - USD,Free Unlimited Plan,7,2,0.000,1,,0.00,1,USD,2015-03-18 19:51:03.000000,234,2018-05-15 15:37:12.000000,27817
177,2f90945b-92d2-4a9a-99b4-9482ec04f6e7,"Plan 100,000",Ideal for studios that shoot A LOT!,1,1,61.000,6,176,,1,AUD,2016-08-29 10:48:57.000000,,,
